,Cycle,A1,A2,A4,A5,A7,A8,B1,B2,B4,B5,B7,B8,C1,C2,C4,C5,C7,C8,D1,D2,D4,D5,D7,D8,E1,E2,E4,E5,E7,E8,F1,F2,F4,F5,F7,F8,G1,G2,G4,G5,G7,G8,H1,H2,H4,H5,H7,H8
,1,11.0456099752741,19.2347877391785,20.8608983952722,13.5157839355893,14.1977270524217,24.0469083193125,21.7806050987438,17.3410599933668,18.5139960129836,15.7992496180455,9.56219093592154,10.2550507015671,6.58408877103966,4.31853047446248,4.85381078498449,11.0446206648794,10.0413530661012,6.95423379911472,9.72342296119768,15.4257510166262,6.37746103835752,11.0347764200656,12.1839343766414,6.55401225895184,7.35237374603139,7.73800484538742,6.34915915317652,1.71455855016256,-2.3367264927233,11.1840475845238,4.11078787453607,4.12857383880009,9.52747883763868,3.84374049523194,-0.270204762424783,13.1558180195352,16.9803433547777,11.8701259473346,14.0057730956528,12.8950460238507,8.47701630512938,8.91591659283131,14.8741651525543,0.15068417385919,42.7221998516866,37.0449240035223,11.8785220057266,5.09289629233035
,2,4.63450423261338,5.25439940286606,18.9323481217029,6.19604640940634,7.44957266201618,20.4077622593363,13.7014949889726,13.2003857794452,16.4694683539324,17.5100718483441,12.2898140675929,10.8179484044731,1.15752263388003,3.46546037758344,3.78195924615829,14.9438003178989,10.7275215346913,8.59566359253358,6.61806985397379,14.1071930164444,6.96007251023548,13.7246886482803,12.2301507733769,10.5451899866789,6.74779439370741,8.0009141275691,6.38547422403371,5.18452541002398,2.35027587064451,12.9795312697847,2.8847666348729,4.48201039074957,12.3110620592947,9.7786008244384,4.90827866375639,11.2467152039262,15.5561510510101,6.68608642092977,9.79216574952534,11.7517395638274,10.73604153424,10.7986252845681,8.72051311498899,2.33324141086723,47.4205287569075,45.1826013285308,10.8168851091073,9.80543696968971
,3,0.194199732092784,3.23958184677622,12.7225037276376,7.91338580010051,5.98414006925941,11.6539094270197,6.92142986278895,4.36627665600827,12.6074798127129,13.6484161435715,5.7771098088233,12.0588303468112,-0.108414489403913,1.75474204209968,8.34174984375977,11.5789948684755,10.0995259694951,9.86244119969706,1.59709030092381,6.65836124961379,7.47877804320569,13.2525481485486,11.4020517388994,9.10028249598827,1.53953682203519,2.0211023595034,5.62595833287833,8.76409080645954,2.13206165514566,8.57970803660965,2.88615096446256,3.09249628131647,9.00993089791973,8.75345235729947,7.29359241320117,11.8999566010048,8.35895467420096,4.80561949860476,2.75357825060246,4.7689208117863,4.62786324187073,3.78129232147921,9.04315385975588,1.22088541371477,54.2239084319012,63.9090329216069,10.3212613200149,9.23109487984675
,4,3.79336995593167,2.06937442549179,10.3024589832162,7.42650232263031,6.08313044790157,11.0871570602585,0.798183327385686,0.312368640049044,15.568137863027,15.1211384507533,9.78947105857924,6.4460570338365,2.15769141678402,3.38101069289132,4.221602713641,12.8760159616868,14.1303513983485,6.66249613448053,3.47110225516917,12.7473502875441,7.22163086748196,14.8090436352868,11.9710272552029,10.8724377192589,3.65530367350993,1.26195400869437,8.17158010063577,14.8551030981594,3.6873167540989,9.5064517996625,0.292110202085951,0.907326604349691,11.3206811514069,10.8708802411461,4.91260679947618,13.3259427176599,5.15378785981557,0.450019623447133,2.33145308221401,0.432918551031435,0.329876782178417,0.820585456783647,8.70018472671154,7.27071077807523,72.2985445758673,85.2120438954717,14.234820170529,10.57841801113
,5,-0.392797107475417,-2.73816567984431,16.847912633471,8.03532479440491,4.26429597777178,17.3037009864279,-1.10335305530089,-0.307362940082839,18.1165636920196,15.9138165100553,12.454098658814,9.63900948198625,0.224377883714169,-0.983912252618211,2.63371869653429,18.1216953272929,13.736067103725,2.43683654542838,-1.90338875445877,14.8560071966726,11.9146154339869,21.5153761350302,14.8158580344339,6.37147129375307,3.02858092595625,0.921423711708485,4.80934402511139,16.3552761692281,-2.48483574741931,10.5585648370957,2.02295575179278,0.656651924061862,12.7673315496695,10.9168572638387,9.30258869214686,14.716228180172,-0.134046147378285,-0.0122431261079328,-2.83525724545689,1.36546611786343,-0.355809600535395,-0.37035141850447,3.91038629998775,7.58134612813683,104.716544314942,117.505061786632,12.1225223084307,11.427527915464
,6,-2.22208913930308,-2.15370634926103,21.9983133870678,14.7753672246508,6.91593539662017,15.8982302337549,-1.45595650884479,0.417699719556367,24.9512286055092,26.5813631302117,12.3683506394236,15.6541200103829,0.509227134220964,-3.78183574770674,14.3410708275028,21.7411489975325,21.5767724102434,9.99818567362445,-0.110172830042302,13.4340090346805,22.5254630254303,30.7402764510562,14.5222324726483,14.0294746438794,-1.88513442572184,1.02791363339384,9.48287827306967,19.2273292956347,-2.81440774702742,13.2713346683463,-0.711769114373965,-2.10460331396189,17.9880908479331,17.6652440797334,12.0436862566607,23.113495298122,-2.24939037172862,-1.16705941845157,1.51018577239211,-4.05964819779228,-5.06128436980589,-4.35387548528888,11.756295094347,5.02422270997522,160.56036492652,178.684112982098,21.8671706997379,18.0810353022298
,7,0.77364025992847,0.916614156358719,31.4960437384598,25.1026548274222,12.7715474665083,25.5462154771967,-6.20704362771994,-4.98702505546771,38.3152609685935,34.4051770133838,27.6736409935916,20.2680027914171,0.77389297249556,1.18283129203019,19.9936576551554,30.0948546463769,22.8560735498909,17.4832354259597,-3.86827371593472,19.8177217871876,48.1181796006517,50.3365469783043,25.8358537880126,19.4956215803145,-2.50567266309145,-1.10882596892316,13.2353267412477,25.8178248360246,-0.585447095713334,18.8505980882651,-2.47871172049281,-0.937236953640877,27.8334177682054,28.9182203739733,23.338845373647,27.680698724831,-3.0746531799814,-3.45631588406741,-2.94361949129052,-2.65685350869444,0.859421161305363,2.51597752730368,17.746378340119,20.4512157395748,264.285966082716,284.864441408469,33.91860011677,34.2214215992303
,8,2.37189595605741,0.159858827916196,50.2535101722474,46.5554768691763,25.605093585119,31.5545278502996,-3.98992088329987,-0.15849587269804,61.5033274910561,63.1124546391325,44.5017715404279,41.9845938459807,-0.0212138782781039,-1.17228350473488,36.2030109795469,48.9197504692197,38.3861142146957,29.6591154609932,2.80633717826277,21.473902306836,72.3284021373943,91.7396175712752,48.010707119201,38.9060482938539,-3.47345295115747,-2.19439212662792,22.3115185844185,36.416636650893,4.76163436495608,27.2283114685697,0.936820911938867,-2.25014844912857,52.770839005997,51.001543937145,38.1375489017519,47.9504159913981,-4.87815873317004,-1.40539357116268,5.04953319113611,7.70780691075061,5.25123156824475,3.56076189252508,27.1660702379895,31.4584967416549,410.169679740272,428.633314427803,61.0948539121218,59.3775700434039
,9,5.12138023809348,3.29433229976212,92.5774936822768,88.8432343307272,44.9981357492493,53.9153077185983,-1.52165976848437,6.24007370296795,108.247420628584,113.482784406645,84.7498972397925,73.121607824648,1.16101734437007,4.06802365896556,67.3220808402248,77.2233481686685,63.7738883908087,54.0811833983171,2.69522867269325,30.4818090164608,133.102745929651,154.264574894719,79.1271149583381,70.2390730315487,-1.71953290446572,-2.27520996184876,38.267334081168,47.5969116747779,21.9176083076081,44.0433745059181,3.95689964865369,5.72877594287365,83.2157544091046,86.0404189501551,66.8921441520106,74.258244701316,-1.22671719823074,1.82154880026428,17.9636694091332,18.0669453856822,13.2061656362794,11.367621544297,47.5052740287351,56.7813141314314,603.149235040451,622.670553326603,109.995858536925,105.098716799763
,10,16.6881536048786,9.10984971488642,160.040756131713,158.978724966591,85.5276664130915,96.3921098554133,10.4942878745314,10.5343221374842,189.339896571444,195.815539496456,144.293779083027,134.209231032442,8.92304883181896,8.59714462450484,128.62225768699,136.229607872983,105.87638672374,99.041438032702,17.0644812823475,39.2821708726119,239.995018766768,272.786436383567,139.624026069883,128.894116583426,-0.275504799645205,1.11373625294254,66.341148126849,81.9362686558429,56.6773610972141,80.9221573295358,7.13083747494738,15.3874439369647,152.172230688219,157.384490952108,128.308387332392,132.023076702637,-7.95158277250994,2.53835156331206,35.3818445540651,40.1610961671877,30.121040635036,31.9827394495296,85.5448700918832,100.184951869668,785.98115202733,802.069524722097,195.443662962981,192.395996356342
