,Cycle,A1,A2,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E4,E5,E6,E7,E8,E9,E10,E11,E12,F4,F5,F6,F7,F8,F9,F10,F11,F12,G4,G5,G6,G7,G8,G9,G10,G11,G12,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,19.2312953142937,24.478470738326,6.80700287381114,6.99738218105767,-0.22187738603543,9.26639627109307,8.25131037208985,10.006317705268,11.1933414561336,12.2580452869261,5.07857651360291,11.151065701803,10.3586879468421,5.2230262099838,-0.583080860735208,4.72348717802333,3.15848154313107,9.07508638828949,-0.00941197043448483,10.8163422127805,15.7088363994635,7.64425092166766,4.54280082512059,4.7664462486141,0.0254467436202503,3.33839109818473,8.69284877241716,1.11747891200821,9.86609729195379,11.001225530495,8.28219173611888,12.2215559726837,-3.78049129996043,6.64680847335194,2.28967891700086,6.58410211967885,11.8438068870096,2.97591762324146,0.494384548938342,-0.451994396055852,12.014058873855,7.02432670282906,8.9077592223598,12.1893775644921,-3.98121580579664,-1.76361579058812,1.47555734537582,5.62497529357688,5.14961275716769,-4.76747145240415,-4.49624229345955,-0.0753998735835921,7.11815836475535,1.67363458968384,5.00199528163103,2.09944111960067,5.46637387177816,1.26824857327529,10.3740572234451,10.688170699887,2.24665897596606,6.37416791185296,3.35180774567016,10.4747522020712,6.02398837045166,11.4702588053751,4.61562307376653,1.28434547133793,-1.2179407686117,3.88405636869538,11.4190805813487,7.40339353543959,11.5822950540246,13.1921447804516,6.96845516182793,7.83123740954943,6.02100514502627,11.431217995284,9.71248705831522,10.5422254782152,8.80273319741673,5.23550803959506
,2,18.1993798317949,24.4294092386217,6.19393526273007,6.81053934252941,9.53018444242844,11.6444232109152,9.22127438130747,12.1317358657884,6.96140815994158,9.90185295821129,4.63189320429547,6.70762487532966,16.0052440069171,4.68230608840258,4.68944009581992,3.61941494833081,5.34327787166785,8.90291708096265,8.05812993929658,13.1212072705639,17.3870810933317,8.08154097650686,3.55419974669803,4.69987771673914,3.74946930032866,3.89371444989911,13.4949021315447,8.7908156379408,14.1597866462189,16.8217208498572,6.88222228022005,11.7345339945432,1.71131215448804,3.80152193310732,4.94548775182693,9.77984191026053,10.5470135508367,5.71394394635308,2.21933606953189,4.73680068295744,8.86280679758465,17.6993134212789,3.61791678460986,9.0869222701981,-2.79626886643837,1.70729012091942,5.42175685068469,8.27282428456738,1.39003148248185,-2.87558110202281,-0.919779853994896,2.09678441501364,10.073707009883,7.06138936389925,9.42120652684935,4.59542394451637,10.2273403471449,5.99997808256194,14.2740252395211,9.60833232062669,9.77847477576643,7.98258905280227,2.56381253806785,9.42159428142213,6.25290721926967,9.89350943643649,5.08903863082378,7.96543369361052,5.65600600981406,7.29334033466102,15.128444451801,13.0189249768609,15.8867774595842,8.20991107715781,5.68073712852765,7.5893998410952,15.7645057203131,9.49157382687963,11.5571678192127,8.70333722822988,6.03295845719913,10.6052037120025
,3,23.6685610819736,23.9301213715744,3.58841941748642,2.11016200788708,5.97614411417499,10.0271029401051,4.408656919843,7.90391827807025,4.28455100757628,9.53921716200102,2.76355725661369,4.57600302019182,10.936354108027,0.983974154895805,9.61697725543536,3.97700991025977,11.9720029090913,12.1603840251732,8.2091467098785,10.5212833215901,14.627640317015,9.92422426176381,5.48192093470516,2.09331807459785,2.9858849600937,2.85994886886192,12.7146557854153,14.234641783672,15.0640400393982,16.3775107589872,3.18257460268069,3.19048946639668,2.16262605830161,2.90454577444325,3.36361152936888,10.6377944029427,5.40446534689636,3.15354381555699,3.6267014262894,3.8831636255527,4.25260389770574,14.625327481654,3.86190611557959,10.2506113517552,-2.14218078076692,3.45751498325171,2.37085373205946,2.64664414803929,-0.224901185384624,-1.33504176896395,0.790171674220346,1.44555682166629,14.8375917611756,4.05442235735745,11.1945058657534,12.362865939609,9.23102073871132,10.2811789151529,14.2786633032051,12.5267345134457,12.8005203169128,11.7938106746469,3.03375164997351,12.3967843248083,4.13566192304734,15.1555391080096,4.33858350828541,7.97307984577174,10.692761433706,11.6562543764044,13.0740809679587,14.297891429972,10.0649584127996,4.23180134127142,4.25891834919366,6.34189577166126,18.8816547874767,15.3498232920615,13.3735033429352,6.98694838966912,6.16193636818525,12.0486667304799
,4,25.7814090718434,24.6729419363223,0.599630710520614,-0.311845601821915,15.6857627103918,12.1334413057143,2.55036696936077,12.0552808229504,0.214929298896095,7.95470767650068,2.31033127578894,0.454445276505339,13.2798771389985,2.4611461051104,5.13744908561875,6.25276315229075,12.1734812773748,13.5775994974742,8.8525834623365,13.9622463367932,17.5432492326913,9.05020736150027,1.84461322316292,1.89055979440582,2.1881522105391,2.55495404817975,13.559861358925,15.7163204821754,19.1616000439221,18.6009205266032,2.38491572006797,1.7080988785433,1.25728553143426,3.18933491720327,1.96704973166834,11.078747499279,0.255198720879434,3.15307375704469,0.799254669459515,-0.390835383130707,2.51536316592319,15.2448224653272,0.554239325691015,10.6343354800861,-1.36874779891878,-0.569033015496643,1.4771856251491,3.83217258585091,3.1202917839114,2.51777071349215,3.16779690804788,1.22199425755616,13.6173209693338,0.598526381927968,8.72199773804095,10.8231466762109,11.9305723286748,9.47023395239466,17.1237959135174,16.6616051267865,14.1693076470538,10.9194890511753,4.46591970016016,13.1231253876458,0.782555191188749,12.5894326693046,0.415205378570136,9.25826971621609,9.78357113732545,16.5520170007308,16.2480256954736,15.0951188348254,13.1403948965203,1.63777252385808,0.291707520117598,-0.691397158695963,17.6305962143165,9.79175264430296,14.2736631283506,13.3089927480919,11.0299469999009,11.2025219136472
,5,38.2922673291305,38.43675830746,-0.604474585499702,3.11135623280279,15.2834289349466,10.7950192750404,-0.313896264352934,15.8214481877794,-0.0925062734322637,13.1554269152853,-2.53130982489392,-2.19916218489789,15.6688810019791,3.04137832847528,9.73912434037675,-4.16964240477955,14.4651889288016,17.2920734030104,12.1343453899094,16.8428758224363,21.2618408412495,10.6166492096395,-1.92658230269126,2.93677501683578,-0.152468870630855,2.13758192296882,16.8322744270349,14.9986476501631,18.8000482859093,24.2924838547342,-0.00880739807325881,1.22895326941671,0.455761917233303,2.8907519755694,-2.20397327940373,12.7650045651726,3.31698176609461,-1.60151642610708,1.1314235380828,-0.498192322241266,-1.70878624183297,19.0399798824305,1.31006429013223,13.3249554261256,-1.63549820867092,-1.68744007383202,0.37943640176718,1.07395947741816,3.01447736174032,2.16583815509966,-1.451021459618,0.891646725451665,16.4008294714167,0.427260874939293,14.3961826232512,10.9129653724385,12.7927262963317,12.8974692112351,20.4693221186785,19.211026687572,18.7007698089787,16.6347033269808,-1.7381693174566,16.1936781364639,-0.985619846477675,16.7964206946822,-0.162771063246964,11.7944245908466,8.95427000619111,14.9035356909635,18.0477382254267,19.7536317723952,13.3221603458442,-0.892389964065387,-0.21542597226744,-1.77538761954975,25.3658997312764,17.4889243840848,9.85884015387592,7.4116481978499,11.1669226292934,13.0820518336968
,6,52.7455634721109,61.0751432993757,0.892426705702746,-0.620085499378547,17.8220873072582,15.6942396218324,-3.74678598216997,11.3502695649445,-3.60938901532472,16.1443893248347,1.90070779110647,-1.4945029836299,19.8340774986664,1.4414172394072,11.5754228194032,-3.48342091186078,16.5239730671187,20.5524217665775,11.5002612698022,18.6903755027156,24.4514833146022,14.9523720666634,-0.808432873267066,0.290525536500354,1.49906726712152,1.09795455699577,21.4176215079451,18.1571051357978,23.8672174951375,30.0069350952476,-1.5666835088864,0.252005112856295,0.0663096571233837,-1.32210304240652,-0.86821924272499,15.6013961041472,-2.48570330864231,0.233383856293585,-3.12995229194439,0.891724169326608,3.03904043433704,25.2598439165708,1.41272589438358,16.6693643839817,1.4123512109727,1.21410763090171,-2.70619655094106,-1.37067335709162,-0.64676714608413,-1.19458909870218,2.72542307001959,2.1501654530407,25.0795039652212,0.512429026997779,19.9677591452505,17.33541447165,16.3423405747003,13.6899051496098,27.9442309098636,25.3306304297685,24.2356308165422,17.6521348595029,-2.35227465971275,22.1026063574091,-0.150655370832283,24.1420997223199,-0.44706441955941,13.7963478230295,11.7069809876343,19.404896166533,20.6637817627629,22.3627599753158,15.1763550005389,-1.25736079894159,-1.15488826675892,1.19770803151232,31.5320613956114,20.8263739555932,19.0553539795897,15.5547898030427,12.5389775395324,16.7267313880484
,7,80.8081413448676,92.0387231781219,0.0468231844852198,0.308342391077076,19.8268330363817,22.4708305132331,1.09007247351201,22.1032590972718,3.18576530870951,18.5039056919495,-0.823352409335257,-0.0582776622682104,24.5038648471577,-1.78505356409778,17.0147313608895,2.3645651132224,26.0296078133651,26.7368357863411,18.7807189656605,25.2007186691685,33.4379575214584,19.852290611379,-0.607065834046807,-0.918706615491828,0.951776405993314,-2.28204079664101,27.1133229084617,32.0444905840259,35.1122656083335,35.6625919022267,4.79533825821864,1.83707184490459,0.537393420489479,-0.357585330839811,2.37147581892577,22.991323268514,0.157343675085031,-2.56011262685115,-0.096069058834928,-0.950103875074092,-2.46615046070247,30.5647643815469,-2.94174524842038,21.7611877852473,-1.4790475740906,-0.543550694778787,3.006919029041,1.31278198213158,0.950281470644313,1.58866178512426,1.87483902734039,2.61566204783321,28.866936870827,-0.77291404005291,20.5346427957529,24.2420131673412,21.3555857542278,21.7988759527811,36.5669421548664,32.9183920815499,36.4796555291987,24.7843941911774,-0.00545085972362358,25.8378533514951,1.9198661722553,28.8948800254643,1.85191602787881,17.8355814844181,22.448216526906,28.4164443005338,30.5911603308068,31.2074390777866,24.2346901149049,2.36078162464264,3.90908670149429,0.910976037979708,38.2662057782068,28.1548593645311,27.8686625478326,18.1456571124049,16.9837222571846,24.8731954580653
,8,130.754382286349,150.949308857501,3.62072367486189,2.48433755858014,25.2438675760527,29.6402423957115,5.97141156091266,27.1705087097125,3.20542595006964,25.0988900950069,3.75736394448541,4.74270494320263,34.4606962296775,3.85168617423096,28.1925379559834,6.17268443511739,37.8309311577923,31.4188478913707,30.4931681496741,39.1090235478723,41.6961978991608,33.5954016691189,-0.31832820901991,-1.7398575347238,3.3974032152687,5.97007124894844,36.7950714809649,42.3556411685595,42.9468071860515,50.7724152688666,2.04789630195046,3.30849531788772,2.67245177689028,-3.08919568359397,-0.601685170347082,31.7637006852578,6.62371538932848,6.21447558941054,2.55482567410809,0.967945397393123,3.74999948898767,36.2228944348217,5.93896453920297,31.5286535226783,1.49816911758035,1.72937168558201,2.07014028025969,-0.584434627697647,1.80935390414197,2.99459975212221,-0.548530272976222,1.16521096935548,42.2607090720567,4.86025298012919,31.5359477019351,35.4701890771817,31.720538854574,30.4878128452424,51.7840165807875,55.352402464684,55.7230947601811,36.1464391419404,5.83939505435774,36.2419327664024,1.68167401762639,37.5975394499769,3.53341578996196,35.1955726508063,33.3157012584693,37.3332027626266,43.2195380189637,39.7484620057689,32.9549655582391,3.87099004777747,2.2763832992664,4.78585272344299,47.2113705302791,41.5180976574297,41.1005534278861,31.7039421484674,28.7618296292699,31.6116852506925
,9,224.953168666851,250.473999191502,8.97364784043066,9.80722482914007,31.6377934645029,44.9028225533634,13.2349717915226,43.9588215442764,13.7750643787526,37.0724325207989,16.1426511919544,17.4106770638264,50.2360621668304,16.4504929909949,41.0003660646539,14.255714369111,61.247074552944,48.6214676016075,51.3619299924703,58.0064704558604,63.2468892915131,48.0954568024717,-1.02779408850711,-1.8455207012903,15.2633438914863,16.0050609240843,48.0280238730443,70.8683776851485,62.574656680998,75.1949434018152,14.3654680672389,15.9901045293564,14.305011604044,-3.00684554145528,3.3015237565437,47.1275359427445,12.3432061388462,17.3186963627559,2.86548495549641,3.12794695615185,3.6819677552844,53.5444655711544,15.8981070256345,43.8964714708413,3.52244671140852,-3.13452638085391,12.1975896453896,5.51144145550461,8.50481309952329,0.324349606842134,-3.45355209795389,-1.56179165979393,62.2672340830381,22.7395641616768,51.7385909669188,46.8045868110216,46.2272809838905,50.3497953477463,82.3025937398411,86.3257424897247,91.8670311681813,54.5773465276184,25.2460819467638,53.1587117719928,2.56775403251231,46.2728358613826,10.3990756398184,52.4222653839479,54.5018507636769,57.8175236711127,59.2751056848047,61.2042732765281,52.3395240585141,12.0400250045782,12.6645793799016,12.7069267856909,72.8121606393943,68.4993581266303,65.3747296431652,46.2568680653576,42.3934915189293,42.8141409274749
,10,359.087292142138,411.346987080545,19.7724801769518,24.2048468139883,43.7136581964974,71.0174677716609,35.6074850109326,68.0201078287673,29.4462685798158,57.769780576984,28.6278401981872,38.8834490197046,80.1504992747014,42.2168420926041,71.6988848572141,42.4139190354745,93.4951881534143,77.1442204415885,85.2145928669265,94.6416917267015,98.7152168493831,79.8713062283841,1.62611371010871,-0.609084409435582,40.2069361871027,40.6045760558468,73.6805764711239,115.075451871976,101.517926628449,113.861993131999,35.4862741530105,32.5856931105918,27.800785306983,-0.891172475477561,-2.62254166880575,72.0810342689847,37.5298906778262,46.714807082983,15.0424890198483,15.9118395552364,9.17022480620153,72.4349462472737,38.7872249633137,68.1416885511003,2.59195569434269,-1.39506709929583,20.6632737242408,21.1302087049157,22.4086504443708,1.60262739418658,2.25102007502755,-1.66065421844496,103.727085339196,46.4636360633058,85.1989679216395,78.8862239828031,69.6338505517419,81.9682443389665,136.254836797199,142.299636892911,149.260192567045,85.4740634401596,51.6324808827108,81.6117498634972,27.628808101766,66.6538975300609,28.4187628857271,85.57322349775,88.4337159676656,91.4212622187833,95.9328192195676,94.5634364747007,83.5697955279293,31.772002799858,33.4614234174082,33.9057689740239,113.424329677375,108.457887384271,111.245355233367,74.898003221725,63.8663895719751,63.34499560837
